"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000000","8000000","5000000","5000000","11000000","17000000","21000000","13000000","25000000","30000000","24000000","23000000","19000000","22000000","21000000","18000000","18000000","19000000","22000000","21000000","15000000","","","13000000","10000000","4000000","","",
"Africa Eastern and Southern","AFE","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","957113913.816518","961058064.560268","947910895.414437","939490367.155679","1057542141.62101","976247923.185232","913301649.711892","831099526.795646","1260142376.96018","1645527534.61719","2235788596.12058","2974579304.77008","3474462994.87688","3961442570.22477","3633292142.34024","4118249151.28203","4954889205.30916","5009306185.34338","5022086306.18016","5564364374.46473","5440605647.72334","4633904217.47411","4990128660.69511","5339286588.97873","5184273730.74253","","","",
"Afghanistan","AFG","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","2000000","3000000","9000000","5000000","6000000","3000000","4000000","10000000","12000000","23000000","39000000","19000000","","",
"Africa Western and Central","AFW","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1242361273.68308","1372573375.60534","2473678801.10435","2890901916.03755","2786596137.31247","4387356494.18449","4831246421.34779","5200932525.21266","5403821021.39439","5524191123.97474","5822682424.64168","5798482501.86771","5007105573.96357","6881574375.0074","6147108184.53705","","","",
"Angola","AGO","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38000000","37000000","27000000","21000000","15000000","10000000","14000000","33000000","37000000","47000000","61000000","245000000","261000000","193000000","137000000","127000000","143000000","129000000","150000000","392000000","243000000","229000000","239000000","207000000","248000000","76000000","","",
"Albania","ALB","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000000","13000000","8000000","17000000","23000000","18000000","12000000","21000000","18000000","27000000","22000000","24000000","63000000","89000000","107000000","92000000","112000000","90000000","88000000","99000000","73000000","76000000","40000000","71000000","82000000","42000000","","",
"Andorra","AND","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7000000","","","",
"Arab World","ARB","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","735000000","865000000","1011000000","1052000000","1033000000","1035000000","995000000","416000000","486000000","604000000","764000000","939000000","1142000000","1401000000","1272000000","1497000000","1935000000","2349000000","2489000000","1854000000","2366000000","2594000000","2802000000","2414000000","1995000000","400000000","","",
"Armenia","ARM","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9000000","4000000","4000000","14000000","14000000","16000000","19000000","31000000","30000000","37000000","48000000","35000000","51000000","59000000","53000000","62000000","69000000","71000000","77000000","77000000","61000000","52000000","55000000","53000000","54000000","23000000","","",
"American Samoa","ASM","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23000000","25000000","24000000","24000000","25000000","27000000","8000000","","",
"Australia","AUS","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2440000000","2625000000","2619000000","2377000000","2617000000","2677000000","2449000000","2677000000","3097000000","4035000000","4404000000","4756000000","5598000000","5940000000","3942000000","5293000000","6596000000","7148000000","6622000000","5543000000","4881000000","4879000000","5240000000","5486000000","5377000000","1166000000","","",
"Austria","AUT","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","799000000","762000000","610000000","818000000","790000000","769000000","829000000","842000000","1138000000","1575000000","1761000000","","","","","","","","","","2008000000","1862000000","2110000000","2316000000","2333000000","648000000","","",
"Azerbaijan","AZE","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19000000","15000000","7000000","11000000","10000000","6000000","10000000","5000000","9000000","14000000","24000000","55000000","117000000","113000000","82000000","74000000","89000000","140000000","155000000","155000000","140000000","99000000","145000000","169000000","137000000","27000000","","",
"Burundi","BDI","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000000","2000000","1000000","2000000","7000000","9000000","15000000","18000000","","","","","","","","","","","",
"Belgium","BEL","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1102000000","1085000000","1192000000","1500000000","1823000000","2317000000","1709000000","","1812000000","2022000000","2164000000","2191000000","2350000000","2624000000","2202000000","2083000000","2235000000","2347000000","2259000000","893000000","","",
"Benin","BEN","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000000","22000000","18000000","12000000","37000000","38000000","31000000","29000000","32000000","30000000","31000000","37000000","35000000","38000000","35000000","34000000","28000000","53000000","500000","200000.002980232","79000000","23000000","98000000","45000000","36000000","","","",
"Burkina Faso","BFA","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000000","13000000","14000000","19000000","28000000","28000000","29000000","35000000","47000000","47000000","41000000","57000000","69000000","71000000","44000000","57000000","61000000","66000000","72000000","70599998.4741211","","","",
"Bangladesh","BGD","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116000000","136000000","143000000","164000000","181000000","176000000","196000000","224000000","281000000","230000000","339000000","374000000","551000000","402000000","574000000","487000000","585000000","958000000","382000000","400000000","359000000","524000000","452000000","469000000","265000000","","",
"Bulgaria","BGR","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117000000","115000000","133000000","135000000","221000000","226000000","247000000","301000000","434000000","572000000","549000000","621000000","262000000","291000000","200000000","149000000","159000000","173000000","229000000","257000000","230000000","275000000","352000000","379000000","371000000","215000000","","",
"Bahrain","BHR","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198000000","189000000","196000000","185000000","183000000","201000000","173000000","170000000","120000000","141000000","160000000","184000000","192000000","201000000","189000000","178000000","181000000","161000000","162000000","147000000","597000000","884000000","878000000","863000000","917000000","","","",
"Bahamas, The","BHS","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000000","44000000","60000000","54000000","34000000","87000000","86000000","94000000","99000000","153000000","184000000","156000000","161000000","155000000","146000000","141000000","101000000","98000000","100000000","116000000","109000000","111000000","183000000","187000000","179000000","56000000","","",
"Bosnia and Herzegovina","BIH","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16000000","18000000","19000000","22000000","27000000","39000000","45000000","36000000","40000000","61000000","64000000","54000000","53000000","54000000","57000000","65000000","78000000","72000000","65000000","97000000","105000000","108000000","51000000","","",
"Belarus","BLR","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000000","23000000","8000000","14000000","17000000","31000000","32000000","34000000","37000000","50000000","68000000","89000000","118000000","144000000","113000000","126000000","141000000","159000000","180000000","149000000","96000000","91000000","99000000","101000000","102000000","32000000","","",
"Belize","BLZ","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000000","12000000","12000000","12000000","3000000","4000000","3000000","4000000","4000000","4000000","3000000","2000000","3000000","3000000","2000000","3000000","3000000","2000000","2000000","2000000","3000000","2000000","2000000","2000000","2000000","1490000.00953674","","",
"Bermuda","BMU","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126000000","165000000","152000000","112000000","116000000","110000000","106000000","100000000","114000000","119000000","124000000","114000000","80000000","78000000","21000000","","",
"Bolivia","BOL","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24000000","33000000","39000000","38000000","42000000","39000000","31000000","34000000","59000000","68000000","71000000","87000000","81000000","100000000","98000000","108000000","112000000","141000000","139000000","145000000","138000000","142000000","168000000","143000000","174000000","51000000","","",
"Brazil","BRA","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","591000000","601000000","789000000","634000000","466000000","654000000","566000000","533000000","613000000","881000000","1185000000","1737000000","2223000000","2307000000","1999000000","2918000000","3806000000","3969000000","4258000000","4431000000","2999000000","2571000000","3989000000","3963000000","3585000000","1096000000","","",
"Barbados","BRB","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39000000","40000000","41000000","44000000","45000000","47000000","48000000","47000000","49000000","55000000","57000000","62000000","78000000","74000000","57000000","74000000","43000000","42000000","43000000","66000000","63000000","46000000","","","","","","",
"Brunei Darussalam","BRN","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","1000000","2000000","2000000","2000000","3000000","600000.023841858","4000000","1000000","2000000","1000000","","","","",
"Botswana","BWA","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000000","14000000","12000000","12000000","8000000","11000000","11000000","13000000","5000000","4000000","1000000","3000000","1299999.95231628","699999.988079071","400000.005960464","500000","479999.989271164","1000000","200000.002980232","1000000","400000.005960464","100000.001490116","300000.011920929","300000.011920929","3700000.04768372","2799999.95231628","","",
"Central African Republic","CAF","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","2000000","3000000","6000000","7000000","9000000","18000000","18000000","19000000","19399999.6185303","","","","","","","","","",
"Canada","CAN","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2398000000","2561000000","2671000000","2535000000","2500000000","2687000000","2673000000","2535000000","2972000000","3743000000","4719000000","5452000000","6458000000","6618000000","6035000000","7248000000","7848000000","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","854519906.161041","573599753.524002","602345071.468257","641543232.301332","902864304.521834","793939656.523221","854453349.855784","1072302645.85301","1364569297.02473","1863199901.21973","2207099031.92359","2219982861.02777","2355758598.51027","3037824491.46484","2108340878.4047","2081352387.89773","2192544968.78646","1974477965.49012","1790956230.0427","2316732596.05197","2158707046.34232","2310879797.91458","2702041806.76377","3217088042.85449","3822364916.8967","","","",
"Switzerland","CHE","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2058000000","2172000000","1957000000","1940000000","1879000000","2091000000","2089000000","1792000000","1861000000","1957000000","1931000000","2094000000","2350000000","2619000000","2270000000","2527000000","3005000000","2866000000","2939000000","3072000000","2468000000","2322000000","2402000000","2387000000","2343000000","826000000","","",
"Channel Islands","CHI","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231000000","241000000","293000000","286000000","280000000","284000000","231000000","259000000","259000000","274000000","304000000","334000000","382000000","392000000","337000000","423000000","422000000","567000000","632000000","618000000","555000000","609000000","789000000","761000000","714000000","190000000","","",
"China","CHN","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090000000","738000000","757000000","1055000000","1083000000","1361000000","1529000000","2211000000","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122000000","126000000","117000000","118000000","115000000","102000000","102000000","132000000","164000000","190000000","195000000","210000000","234000000","256000000","246000000","217000000","200000000","196000000","202000000","223000000","203000000","119000000","177500000","209000000","228000000","110000000","","",
