"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33000000","46000000","37000000","45000000","53000000","36000000","3000000","1000000","100000.001490116","","","100000.001490116","400000.005960464","1000000","1000000","3000000","7000000","10000000","11000000","20000000","9000000","","","2000000","5000000","1000000","","",
"Africa Eastern and Southern","AFE","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1793191432.64928","1714745570.2628","1788834377.73232","1870391167.15657","1953151838.31839","1717519587.67732","1794419794.48867","1979619788.10092","2348166153.77717","2646782465.5739","2899294235.91161","3343762360.98041","4090857286.00842","4148169334.57522","3574449351.19768","4452233383.95439","5014645908.11839","5166880071.13288","5378038964.98209","5420220131.25867","5110428410.20253","4835962903.08508","5297457117.3026","5995110897.78334","5727319528.61334","","","",
"Afghanistan","AFG","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40000000","53000000","72000000","80000000","65000000","41000000","12000000","7000000","13000000","14000000","22000000","13000000","10000000","","",
"Africa Western and Central","AFW","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226570048.813737","253842222.682732","261606013.743579","253335230.603541","314442893.637634","347320003.303482","317270846.328444","385080155.941155","405501927.996466","384778763.301452","391742068.201955","344478524.12987","489336742.744426","773532772.812142","467725302.788145","556903285.093997","587320115.089672","718980896.835452","640607513.37384","590222652.708511","542400293.680776","545107219.636206","605724951.95441","632588775.498155","752300974.33431","","","",
"Angola","AGO","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17000000","29000000","15000000","31000000","18000000","16000000","13000000","14000000","14000000","16000000","15000000","16000000","11000000","8000000","20000000","7000000","7000000","5000000","7000000","8000000","8000000","5000000","4000000","13000000","11000000","3000000","","",
"Albania","ALB","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","17000000","7000000","6000000","7000000","9000000","5000000","5000000","15000000","21000000","26000000","45000000","101000000","135000000","185000000","167000000","201000000","160000000","197000000","149000000","114000000","128000000","107000000","120000000","129000000","109000000","","",
"Andorra","AND","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000000","","","",
"Arab World","ARB","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328000000","354000000","375000000","328000000","277000000","291000000","114000000","181000000","300000000","425000000","480000000","575000000","705000000","609000000","466000000","616000000","627000000","651000000","674000000","685000000","514000000","499000000","460000000","436000000","413000000","86000000","","",
