"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","521000000","620000000","689000000","741000000","729000000","814000000","822000000","834000000","858000000","1057000000","1097000000","1064000000","1213000000","1351000000","1222000000","1251000000","1351000000","1402000000","1495000000","1605000000","1650000000","1757000000","1855000000","2033000000","2104000000","1076000000","","",
"Africa Eastern and Southern","AFE","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4642722212.40851","5274960215.55948","5720539508.5505","5900398710.9438","5977031389.39227","5246480633.02964","5618000939.53777","6189888180.6182","9709381543.94458","11481035927.5126","13356525474.2089","14647290125.0139","16906365907.0721","16338877283.0246","15779204434.475","17775261534.8253","19441646456.7321","21369379889.9585","20888412929.6177","22067679662.639","20375126010.4213","19872248426.7053","21570036020.6881","23088813542.4015","22349177802.4615","","","",
"Afghanistan","AFG","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17000000","36000000","75000000","85000000","102000000","138000000","109000000","79000000","49000000","2000000","28000000","72000000","65000000","","",
"Africa Western and Central","AFW","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630557899.450004","740308595.275119","722855557.712466","1074345728.88671","1133128183.92417","1140949710.71755","1315011441.64014","1460139584.38059","1694941387.41295","1776841776.6483","2366586793.31013","2749896113.3989","3532916617.16126","4154464756.9857","3786238998.79838","3478709744.60205","3978698222.87554","4024254216.59417","4443474915.57987","4484257977.63972","3809858157.72782","4935641697.11488","6779779251.80916","6596820216.92588","","","","",
"Angola","AGO","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000000","9000000","9000000","8000000","13000000","18000000","22000000","37000000","49000000","66000000","88000000","75000000","225000000","285000000","534000000","719000000","646000000","706000000","1234000000","1589000000","1163000000","623000000","880000000","544000000","384000000","16000000","","",
"Albania","ALB","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65000000","77000000","27000000","54000000","211000000","389000000","446000000","487000000","522000000","735000000","854000000","1012000000","1378000000","1715000000","1828000000","1611000000","1632000000","1463000000","1473000000","1700000000","1499000000","1693000000","1943000000","2186000000","2329000000","1134000000","","",
"Andorra","AND","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1897000000","","","",
"Arab World","ARB","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2222000000","2621000000","2778000000","3025000000","2898000000","2904000000","2642000000","1535000000","2006000000","2235000000","2729000000","3351000000","4325000000","4664000000","3989000000","4989000000","5431000000","5014000000","4525000000","4960000000","4927000000","4967000000","5370000000","5563000000","5241000000","1616000000","","",
"Armenia","ARM","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","12000000","20000000","24000000","31000000","38000000","65000000","63000000","73000000","172000000","223000000","370000000","484000000","518000000","530000000","646000000","722000000","817000000","880000000","966000000","936000000","1017000000","1204000000","1329000000","1528000000","293000000","","",
