,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
0,Aruba,1178000.0,1225000.0,1184000.0,1304000.0,1286000.0,1285000.0,1254000.0,1383000.0,1420000.0,1394000.0,1469000.0,1481000.0,1667000.0,1739000.0,1832000.0,1758000.0,1863000.0,1897000.0,1951000.0,2658000.0,2681309.7573484182,2840734.1917506782,2866320.4742999906,3265526.8107827045,3421313.8707585763,3623512.7610405134
1,Africa Eastern and Southern,15854696.29,17383375.42,17844385.28,18745951.16,19917566.37,22650320.88,25114898.44,25413098.27,25964418.07,29071500.51,31650243.88,32748552.39,34426632.68,35738392.21,35318681.46,37645887.77,38258347.88,41189145.27,39826701.4,2658000.0,2505787.6081863274,2414129.988416416,2378289.7179727983,2326746.017200639,2288906.693779027,2300793.5495964284
3,Africa Western and Central,4615887.342,4697120.11,5013049.71,5839376.585,6320831.909,6955607.105,9389591.494,10157585.78,10569712.64,11070796.45,8902380.178,10221030.4,10085818.94,10544624.0,13311681.73,13150775.34,38258347.88,41189145.27,39826701.4,2658000.0,2472572.446008487,2969432.2165012266,2644134.1443117177,2673878.0248123044,2575805.0674580378,2117893.942349074
4,Angola,67000.0,91000.0,107000.0,194000.0,210000.0,121000.0,195000.0,294000.0,366000.0,425000.0,481000.0,528000.0,650000.0,595000.0,592000.0,397000.0,261000.0,218000.0,218000.0,2658000.0,3441024.8106284733,3752769.935030361,4006086.938101339,4634196.824043782,4355842.024302396,4340442.594476401
5,Albania,354000.0,470000.0,557000.0,645000.0,748000.0,937000.0,1127000.0,1420000.0,1856000.0,2417000.0,2932000.0,3514000.0,3256000.0,3673000.0,4131000.0,4736000.0,5118000.0,5927000.0,6406000.0,2658000.0,2337718.867564589,2231213.428312745,2135783.5210741176,2175464.8263172493,2113087.822423227,2053985.6608692724
6,Andorra,11351000.0,11507000.0,11601000.0,11668000.0,11049000.0,10737000.0,10743000.0,10194000.0,9112000.0,8551000.0,7983000.0,7900000.0,7676000.0,7797000.0,7850000.0,8025000.0,8152000.0,8328000.0,8235000.0,5207000.0,2883404.0455660876,2288339.6785603184,2209307.5949124005,2005610.0036091225,2113923.0621733796,2162634.984707316
7,Arab World,11351000.0,11507000.0,11601000.0,80985285.3,82979842.63,89387603.62,99187198.04,115508623.6,113944262.1,130381603.8,109790026.2,122650455.8,122579989.8,130620704.1,122563985.7,115219915.3,122153139.7,131892640.9,142447574.2,5207000.0,5107380.37473303,5249337.920245972,5157415.9145123325,5157888.646899045,5105888.169011871,5157996.056862647
9,Argentina,2620000.0,2820000.0,2995000.0,3457000.0,3823000.0,4173000.0,4562000.0,4700000.0,4308000.0,6800000.0,6703000.0,6497000.0,6510000.0,7165000.0,6816000.0,6668000.0,6711000.0,6942000.0,7399000.0,5207000.0,5197427.509179251,5197799.532205378,5198607.880905895,5198556.11209905,5196073.880248352,5197366.657377922
10,Armenia,123000.0,162000.0,206000.0,263000.0,319000.0,382000.0,511000.0,558000.0,575000.0,684000.0,758000.0,963000.0,1084000.0,1204000.0,1192000.0,1260000.0,1495000.0,1652000.0,1894000.0,375000.0,372504.4562239917,371251.644716317,368348.67768477293,366921.66415313585,365660.4545525184,365780.5937867509
11,American Samoa,36000.0,162000.0,206000.0,263000.0,24500.0,25299.99924,24100.00038,24299.99924,23500.0,23100.00038,22600.00038,22600.00038,20799.99924,21600.00038,20299.99924,20100.00038,20000.0,20200.00076,19200.00076,899.9999762,899.8364465400116,899.765795941223,899.765795941223,899.4978820317621,899.6196979487167,899.4193532243518
12,Antigua and Barbuda,624000.0,528000.0,623000.0,769000.0,712000.0,838000.0,935000.0,863000.0,944000.0,788000.0,848000.0,819000.0,777000.0,771000.0,894000.0,874000.0,1040000.0,1064000.0,1035000.0,384500.0,364667.960623802,380593.0368741768,372956.79305756633,361694.1540689725,360064.66933656944,392485.62954435253
13,Australia,4856000.0,4841000.0,4746000.0,5215000.0,5499000.0,5532000.0,5644000.0,5586000.0,5490000.0,5790000.0,5771000.0,6032000.0,6482000.0,6922000.0,7449000.0,8269000.0,8815000.0,9246000.0,9466000.0,1828000.0,1986603.0596636408,1971513.707807111,2184545.9730958124,2581341.171534765,3006133.381393349,3563917.233195795
14,Austria,18180000.0,18611000.0,19078000.0,19374000.0,19952000.0,20269000.0,20773000.0,21935000.0,21355000.0,22004000.0,23012000.0,24151000.0,24813000.0,25291000.0,26728000.0,28121000.0,29460000.0,30816000.0,31884000.0,15091000.0,14819015.160997419,11433308.207942475,8643227.742109232,7390393.206081377,6617295.527521414,4805050.541630719
15,Azerbaijan,767000.0,834000.0,1038000.0,1279000.0,1177000.0,1194000.0,1333000.0,1899000.0,1830000.0,1963000.0,2239000.0,2484000.0,2509000.0,2298000.0,2006000.0,2249000.0,2697000.0,2850000.0,3170000.0,796000.0,743021.8083024477,565308.4415040973,455595.19202940055,446213.1543280651,535567.352437009,710309.4300360013
16,Burundi,36000.0,74000.0,74000.0,133000.0,148000.0,214000.0,192000.0,202000.0,212000.0,142000.0,144000.0,147000.0,234000.0,235000.0,131000.0,187000.0,299000.0,2850000.0,3170000.0,796000.0,562082.62927577,569897.7247915232,581617.7812747925,920373.0242462044,924256.0250151032,519073.97485890536
17,Belgium,6452000.0,6720000.0,6690000.0,6710000.0,6747000.0,6995000.0,7045000.0,7165000.0,6815000.0,7186000.0,7494000.0,7560000.0,7684000.0,7887000.0,8355000.0,7481000.0,8385000.0,9119000.0,9343000.0,2584000.0,2545057.4986943686,2047039.3151529003,1955992.2203055443,1797654.246219888,1570171.1675854756,1164260.9005669742
18,Benin,1155000.0,853000.0,850000.0,845000.0,960000.0,975000.0,1010000.0,1027000.0,6815000.0,7186000.0,222000.0,232000.0,252000.0,265000.0,279000.0,292000.0,307000.0,322000.0,337000.0,2584000.0,4169501.917208556,1772942.1435026717,1792257.7447931464,1829079.1339163072,1851846.3565451386,1875441.7052278672
19,Burkina Faso,128000.0,150000.0,163000.0,222000.0,245000.0,264000.0,289000.0,272000.0,269000.0,274000.0,238000.0,237000.0,218000.0,191000.0,163000.0,152000.0,143000.0,144000.0,143000.0,67000.0,66949.57046001429,67925.86181536959,67955.26338838032,68541.42677309384,69479.23568839271,70620.52328394946
20,Bangladesh,207000.0,207000.0,245000.0,271000.0,208000.0,200000.0,289000.0,467000.0,267000.0,139000.0,157000.0,160000.0,104000.0,134000.0,126000.0,182000.0,237000.0,267000.0,323000.0,67000.0,432727.03566245106,358763.40077556897,348461.2897558274,676297.6452172619,457830.1286795279,503334.30250790354
