,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
5,Albania,955000.0,1303000.0,1350000.0,1694000.0,2097000.0,2616000.0,2979000.0,3716000.0,3404000.0,3443000.0,4120000.0,3959000.0,3928000.0,4146000.0,4504000.0,4852000.0,5186000.0,5415000.0,5922000.0,2907000.0,2968771.147871302,2825491.6302151373,2856698.70376211,2862893.5831722477,2820597.8676575087,2756954.1244508866
9,Argentina,955000.0,1303000.0,1350000.0,4436000.0,4481000.0,4533000.0,4928000.0,5425000.0,5793000.0,6083000.0,7676000.0,8295000.0,9844000.0,10022000.0,13159000.0,18645000.0,21583000.0,18411000.0,15352000.0,2907000.0,2962870.38692627,3079716.936315974,3119691.771776759,3209787.0510483864,3219366.5096505973,3368505.77378562
10,Armenia,110000.0,131000.0,169000.0,221000.0,269000.0,329000.0,468000.0,516000.0,526000.0,563000.0,715000.0,965000.0,1083000.0,1198000.0,1187000.0,1263000.0,1482000.0,1623000.0,1868000.0,346000.0,343358.4240258557,336218.9703654904,327471.61112563673,324167.1144105459,321303.7045000647,321564.3787030431
13,Australia,3443000.0,3461000.0,3388000.0,4369000.0,4756000.0,4941000.0,5462000.0,5808000.0,6276000.0,7103000.0,7788000.0,8212000.0,9052000.0,9480000.0,9810000.0,10390000.0,10932000.0,11403000.0,11624000.0,2832000.0,2440547.779961704,2280007.39250001,2192404.344434597,2040146.019553643,1971663.109325974,1922426.0335815975
14,Austria,8350000.0,8266000.0,8384000.0,8371000.0,8206000.0,10042000.0,9876000.0,9677000.0,10121000.0,9882000.0,9874000.0,10960000.0,10671000.0,10994000.0,10628000.0,11534000.0,11491000.0,11043000.0,11902000.0,3964000.0,3988252.8433986204,3987313.1131451973,4110232.8853177424,4078397.7362524373,4113938.911261967,4073608.954814969
15,Azerbaijan,1130000.0,1141000.0,1475000.0,1473000.0,1830000.0,1836000.0,1631000.0,2162000.0,2363000.0,3176000.0,3550000.0,3874000.0,4285000.0,4244000.0,4096000.0,4282000.0,4109000.0,4908000.0,5568000.0,1165000.0,482518.4271153045,373854.9758908499,306031.91128418077,242884.37447133553,248295.8662179265,269339.9863187965
17,Belgium,6570000.0,6773000.0,7268000.0,8783000.0,9327000.0,7852000.0,8371000.0,8887000.0,8775000.0,8801000.0,9727000.0,9576000.0,10803000.0,10991000.0,10835000.0,13372000.0,12142000.0,13098000.0,14191000.0,5850000.0,5868866.155672849,5677647.335431059,5707136.321816429,5483794.07835219,5452556.4571201,5478426.150068543
21,Bulgaria,2730000.0,3188000.0,3403000.0,3882000.0,4235000.0,4180000.0,4515000.0,5727000.0,4993000.0,3676000.0,3803000.0,3758000.0,3930000.0,4158000.0,4632000.0,5392000.0,6228000.0,6699000.0,7007000.0,3973000.0,5480094.700141713,5346731.68593884,5393096.368890715,5220838.101406249,5011580.7143797735,4634115.478796376
25,Belarus,4008000.0,6160000.0,6518000.0,6924000.0,6596000.0,6811000.0,7512000.0,6323000.0,6440000.0,7464000.0,7542000.0,8427000.0,8841000.0,7236000.0,6972000.0,8340000.0,9209000.0,9326000.0,9221000.0,2810000.0,3063319.350360683,3079933.3742859922,3262963.1499592285,3345406.8139825184,3014271.6870138985,2956543.8842788516
28,Bolivia,222000.0,217000.0,304000.0,346000.0,386000.0,472000.0,526000.0,589000.0,518000.0,604000.0,775000.0,788000.0,837000.0,932000.0,965000.0,940000.0,997000.0,1060000.0,1160000.0,432000.0,427977.8353711019,390077.20947560784,387670.99644152727,379068.8612082298,364209.1871510994,359525.7365475299
29,Brazil,2674000.0,2338000.0,3229000.0,2968000.0,3364000.0,3886000.0,4662000.0,5238000.0,4920000.0,6457000.0,7807000.0,8497000.0,8866000.0,9617000.0,9478000.0,8872000.0,10610000.0,10628000.0,1160000.0,432000.0,262615.7891292695,167174.221179076,136668.53504341215,123523.14023592889,101799.00253174109,105386.58670177228
36,Central Europe and the Baltics,102537633.3,93740821.34,88685258.06,91533983.55,97852373.4,102510242.5,110142989.4,117756000.0,102817000.0,103082009.0,102137000.0,104157000.0,108876000.0,93128000.0,104174000.0,109447000.0,119458000.0,128530000.0,136609000.0,432000.0,2359004.1958163786,2653054.2176960944,2066615.2873562803,1174370.2966315064,8615098.185794048,2062317.7921645844
39,Chile,1340000.0,1444000.0,1509000.0,1727000.0,2031000.0,2264000.0,2451000.0,2317000.0,2359000.0,2737000.0,3220000.0,3448000.0,3674000.0,3842000.0,4103000.0,4269000.0,4367000.0,4605000.0,4091000.0,432000.0,591242.4285803144,803003.9430868027,913449.1793101463,1029487.288327281,1119950.0659554694,1267554.6330547128
40,China,12133000.0,16602000.0,20222000.0,28853000.0,31026000.0,34524000.0,40954000.0,45844000.0,47656000.0,57386000.0,70250000.0,83182000.0,98185000.0,116593000.0,127860000.0,135130000.0,143035000.0,149720000.0,154632000.0,20334000.0,18668891.198451567,17286151.1004673,16209835.37050844,15218753.824943641,14255615.628907882,13763969.099551858
