,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
0,Aruba,21000000.0,13000000.0,25000000.0,30000000.0,24000000.0,23000000.0,19000000.0,22000000.0,21000000.0,18000000.0,18000000.0,19000000.0,22000000.0,21000000.0,15000000.0,4633904217.0,4990128661.0,13000000.0,10000000.0,4000000.0,3112985.3679839424,3112985.3679839424,3330532.547977983,4000000.000000006,3774143.9827427934,2478850.401624391
1,Africa Eastern and Southern,913301649.7,831099526.8,1260142377.0,1645527535.0,2235788596.0,2974579305.0,3474462995.0,3961442570.0,3633292142.0,4118249151.0,4954889205.0,5009306185.0,5022086306.0,5564364374.0,5440605648.0,4633904217.0,4990128661.0,5339286589.0,5184273731.0,4000000.0,3693801.8382918756,2527528.7204032135,2471522.924665804,2458637.431794917,1992229.1698983342,2086309.7175833194
3,Africa Western and Central,913301649.7,831099526.8,1260142377.0,1645527535.0,1242361274.0,1372573376.0,2473678801.0,2890901916.0,2786596137.0,4387356494.0,4831246421.0,5200932525.0,5403821021.0,5524191124.0,5822682425.0,5798482502.0,5007105574.0,6881574375.0,6147108185.0,4000000.0,2080013.0652584427,1788355.732042657,1593153.05265009,1500393.1995634558,1449462.8680845196,1334693.2627916245
4,Angola,14000000.0,33000000.0,37000000.0,47000000.0,61000000.0,245000000.0,261000000.0,193000000.0,137000000.0,127000000.0,143000000.0,129000000.0,150000000.0,392000000.0,243000000.0,229000000.0,239000000.0,207000000.0,248000000.0,76000000.0,66417577.17442446,69004610.69214258,66752623.38778777,70074815.9924367,95479965.865625,81852624.85997564
5,Albania,12000000.0,21000000.0,18000000.0,27000000.0,22000000.0,24000000.0,63000000.0,89000000.0,107000000.0,92000000.0,112000000.0,90000000.0,88000000.0,99000000.0,73000000.0,76000000.0,40000000.0,71000000.0,82000000.0,42000000.0,42190331.14324084,43337545.72775769,42064051.255224004,41935324.17728091,42614405.137388274,40880014.49539354
9,Argentina,995000000.0,416000000.0,486000000.0,604000000.0,764000000.0,939000000.0,1142000000.0,1401000000.0,1272000000.0,1497000000.0,1935000000.0,2349000000.0,2489000000.0,1854000000.0,2366000000.0,2594000000.0,2802000000.0,2414000000.0,1995000000.0,400000000.0,398333220.52003866,391944198.37131166,387185638.15192074,385776012.82306355,393001572.7077192,387009771.9112852
10,Armenia,19000000.0,31000000.0,30000000.0,37000000.0,48000000.0,35000000.0,51000000.0,59000000.0,53000000.0,62000000.0,69000000.0,71000000.0,77000000.0,77000000.0,61000000.0,52000000.0,55000000.0,53000000.0,54000000.0,23000000.0,22784314.44531013,22325978.447115257,22205120.138850596,21865533.039175265,21865533.039175265,22854803.878683936
13,Australia,2449000000.0,2677000000.0,3097000000.0,4035000000.0,4404000000.0,4756000000.0,5598000000.0,5940000000.0,3942000000.0,5293000000.0,6596000000.0,7148000000.0,6622000000.0,5543000000.0,4881000000.0,4879000000.0,5240000000.0,5486000000.0,5377000000.0,1166000000.0,1283204669.050664,1068842348.4731339,999826078.2176079,1065355727.8322437,1234949980.4663794,1372540941.6445289
15,Azerbaijan,10000000.0,5000000.0,9000000.0,14000000.0,24000000.0,55000000.0,117000000.0,113000000.0,82000000.0,74000000.0,89000000.0,140000000.0,155000000.0,155000000.0,140000000.0,99000000.0,145000000.0,169000000.0,137000000.0,27000000.0,26920890.377361268,26955354.113586236,27040127.99289214,27059211.881667655,27059211.881667655,27040127.99289214
17,Belgium,1102000000.0,1085000000.0,1192000000.0,1500000000.0,1823000000.0,2317000000.0,1709000000.0,113000000.0,1812000000.0,2022000000.0,2164000000.0,2191000000.0,2350000000.0,2624000000.0,2202000000.0,2083000000.0,2235000000.0,2347000000.0,2259000000.0,893000000.0,2321902853.8884754,2374700394.3085513,2384475120.5343804,2440462185.7148433,2531272805.870465,2388434323.8711805
