,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
0,Aruba,2.89,3.32,3.66,2.53,3.4,3.61,5.39,8.96,-2.14,2.08,4.32,0.63,-2.37,0.42,0.48,-0.89,-0.47,3.58,4.26,1.22,0.74,6.04,5.839436664718684,5.42447803999872,5.810389560988286,5.818688733482685
1,Afghanistan,-43.4,51.93,35.66,16.36,10.57,6.78,8.68,26.42,-6.81,2.18,11.8,6.44,7.39,4.67,-0.66,4.38,4.98,0.63,2.3,5.44,5.06,6.04,5.973312043265913,5.958440315825213,6.001020419655427,6.084458637822724
2,Angola,152.59,108.89,98.22,43.53,22.96,13.31,12.25,12.47,13.72,14.48,13.48,10.28,8.78,7.3,9.16,32.38,29.84,19.63,17.08,21.02,23.85,21.35,22.16136667827748,22.45114049194801,22.7370506547696,22.377731125818144
3,Albania,3.1,5.18,2.38,2.83,2.36,2.41,2.91,3.41,2.29,3.57,3.41,2.03,1.93,1.62,1.91,1.29,1.99,2.03,1.41,1.62,2.04,6.73,6.415450826081789,6.3950255550481385,6.331707214843823,6.390940500841409
4,United Arab Emirates,2.8,2.92,3.12,5.04,6.2,9.28,11.13,12.27,1.57,0.88,0.88,0.66,1.09,2.34,4.07,1.62,1.97,3.06,-1.93,-2.08,0.18,5.22,5.281458785499885,5.161334795659202,4.812137150773494,4.328847610251675
5,Argentina,-1.07,25.87,13.44,4.42,9.64,10.9,8.83,8.59,6.27,10.46,9.77,10.04,10.62,38.08,26.54,39.4,25.68,34.28,53.55,42.02,48.41,72.43,72.11837450880421,72.5487144728365,92.92308587339926,84.36080452006735
6,Armenia,3.15,1.79,4.54,5.93,0.72,3.43,4.55,9.02,3.54,7.27,7.65,2.54,5.79,2.98,3.73,-1.41,1.03,2.52,1.44,1.21,7.18,8.78,10.438331327520656,9.298885912202552,10.284067948215904,10.021119006221289
7,Antigua and Barbuda,1.93,2.41,1.99,2.03,2.1,1.79,1.42,5.33,-0.55,3.37,3.46,3.38,1.06,1.09,0.97,-0.49,2.43,1.21,1.48,1.06,1.63,8.52,8.523416171778583,7.730864316148603,7.741112831523072,7.700118770025604
8,Australia,4.41,2.98,2.73,2.34,2.69,3.56,2.33,4.35,1.77,2.92,3.3,1.76,2.45,2.49,1.51,1.28,1.97,1.91,1.61,0.85,2.82,6.5,6.607593156644386,6.543593778985225,6.539883670135419,6.630781336955676
9,Austria,2.65,1.81,1.36,2.06,2.3,1.44,2.17,3.22,0.51,1.81,3.29,2.49,2.0,1.61,0.9,0.89,2.23,2.0,1.49,1.38,2.77,8.5,8.730130588893726,8.5643011939556,8.432314532678317,8.19203112368634
10,Azerbaijan,1.86,2.78,2.13,6.71,9.54,8.23,16.57,20.8,1.33,5.69,7.77,1.01,2.43,1.43,4.03,12.44,12.84,2.33,2.71,2.76,6.65,13.85,13.760992973459606,13.787999378948358,13.768980783533744,13.81842913161174
11,Burundi,9.3,-1.37,10.65,8.18,13.25,2.75,8.41,24.41,10.56,6.49,9.59,18.16,7.94,4.41,5.54,5.56,16.64,-2.81,-0.71,7.32,8.31,17.34,22.5646630812099,17.9891655070912,16.408783272586405,16.914684667767826
12,Belgium,2.47,1.65,1.59,2.1,2.78,1.79,1.82,4.49,-0.05,2.19,3.53,2.84,1.11,0.34,0.56,1.97,2.22,2.05,1.25,0.74,2.44,9.6,9.759279375931692,9.335351190739763,9.14666639155029,9.200576334175855
13,Benin,3.98,2.42,1.51,0.88,5.36,3.79,1.29,7.94,0.4,2.18,2.72,6.74,0.89,-1.01,0.27,-0.85,1.77,0.83,-0.93,3.02,5.92,1.31,1.854248615810795,1.1560349310550444,0.9292646744677029,1.0820362157475962
14,Burkina Faso,4.73,2.3,2.04,-0.4,6.41,2.34,-0.23,10.67,0.86,-0.61,2.76,3.82,0.53,-0.26,0.95,-0.24,0.35,1.96,-3.23,1.88,3.85,14.29,14.828974755506747,14.428697792613475,14.332582655626945,14.479796979365808
15,Bangladesh,1.91,3.72,5.36,6.1,7.04,6.77,9.11,8.9,5.44,8.15,10.26,6.55,7.52,6.98,6.19,5.51,5.61,5.55,5.47,5.69,5.31,7.7,7.4576959746418545,7.604592790015231,7.522815181456857,7.403177568936272
16,Bulgaria,7.45,5.86,2.39,6.14,5.03,7.26,8.42,12.35,2.75,2.44,4.22,2.95,0.89,-1.41,-0.1,-0.8,1.19,2.81,2.46,1.67,2.79,15.33,15.25818718112134,15.54825464561161,15.872116377809485,15.687655999905479
17,Bahrain,-1.17,-0.5,1.68,2.25,2.62,2.04,3.25,3.52,2.8,1.96,-0.37,2.77,3.3,2.65,1.84,2.8,1.39,2.08,1.0,-2.32,-0.61,3.61,2.7265216597226183,2.1484432395411224,2.8574073397637125,3.7408856800410937
18,"Bahamas, The",2.36,1.5,3.66,1.16,1.82,1.96,2.41,4.43,1.67,1.62,3.2,1.97,0.72,1.51,1.87,-0.35,1.55,2.23,1.34,0.04,2.91,5.66,5.600419515767319,5.813206959444598,5.6787252950405565,5.617442511261499
19,Bosnia and Herzegovina,4.57,0.31,0.55,0.28,3.58,6.08,1.55,7.4,-0.39,2.21,3.66,2.06,-0.09,-0.92,-1.01,-1.06,0.81,1.27,0.62,-1.05,1.98,13.66,13.64973259833369,13.502566507788693,13.445753551903877,13.439593110904319
20,Belarus,60.85,42.65,28.49,18.24,10.37,6.96,8.29,14.73,12.83,7.66,53.17,59.5,18.33,18.09,13.48,11.8,6.03,4.87,5.6,5.55,9.46,15.21,21.80434461963759,16.567285051920006,16.536755678680944,15.950337301047277
21,Belize,1.15,2.2,2.62,3.07,3.65,4.24,2.32,6.39,-1.1,0.92,1.7,1.3,0.51,1.2,-0.85,0.66,1.15,0.24,0.19,0.12,3.26,6.18,6.099402792087431,6.26696014537935,6.12061258364337,6.555413310540123
22,Bolivia,1.6,0.93,3.34,4.44,5.4,2.33,8.71,14.01,3.34,2.5,9.88,4.51,5.74,5.76,4.06,3.63,2.82,2.27,1.84,0.94,0.74,1.75,1.6510769252777302,1.5905419094029083,1.5895576002016918,1.673223882305104
23,Brazil,6.84,8.45,14.71,6.6,6.87,4.18,3.64,5.68,4.89,5.04,6.64,5.4,6.2,6.33,9.03,8.74,3.45,3.66,3.73,3.21,8.3,9.3,9.33751321683953,9.420875920927372,9.434422360341646,9.715771486638113
24,Barbados,2.8,0.17,1.58,1.43,6.07,7.31,4.03,8.11,3.64,5.82,9.43,4.53,1.81,1.77,-1.11,1.28,4.41,3.69,4.1,2.88,3.06,9.9,9.637799704748488,9.08494326825761,9.07681302654451,8.491435623201223
25,Brunei Darussalam,0.6,-2.29,0.3,0.9,1.09,0.15,0.97,2.09,1.04,0.22,0.14,0.11,0.39,-0.21,-0.42,-0.74,-0.17,0.15,-0.42,1.94,1.74,3.81,3.801800055883762,3.822672640906914,3.77794567300016,3.762291234232796
26,Bhutan,3.72,2.94,2.47,3.35,4.77,5.15,5.08,6.78,6.26,5.73,7.28,9.27,11.32,8.27,4.55,4.31,5.53,2.72,2.6,5.63,7.33,12.62,15.591396674386674,17.312120737237716,14.752019082752021,11.629534441871108
27,Botswana,6.5,8.04,9.18,6.94,8.68,11.55,7.06,12.64,8.13,6.92,8.46,7.55,5.87,4.41,3.07,2.78,3.3,3.22,2.85,1.89,7.24,11.59,11.349393674640531,11.991010542265782,12.548606153416296,13.060371988307864
28,Central African Republic,3.84,2.3,4.35,-2.24,2.88,6.69,0.94,9.26,3.52,1.49,1.2,5.87,6.55,11.6,4.5,4.01,4.46,1.61,2.68,2.3,4.26,6.53,5.524309521522596,5.368174926690488,4.2086459503638,5.838874808169638
29,Cayman Islands,1.13,2.49,0.55,4.47,7.29,0.75,2.92,4.08,-1.47,0.27,1.31,1.2,2.17,1.25,-2.38,-0.59,2.0,3.3,5.7,1.0,0.76,8.2,8.413715930537458,8.636623944108786,8.425206034329795,7.591024499006168
30,Canada,2.53,2.26,2.76,1.86,2.21,2.0,2.14,2.37,0.3,1.78,2.91,1.52,0.94,1.91,1.13,1.43,1.6,2.27,1.95,0.72,3.4,6.8,6.861175690992136,6.997644540150762,6.769412154489134,6.952939227495398
31,Switzerland,0.99,0.64,0.64,0.8,1.17,1.06,0.73,2.43,-0.48,0.69,0.23,-0.69,-0.22,-0.01,-1.14,-0.43,0.53,0.94,0.36,-0.73,0.58,2.8,3.0654395796847633,2.9750362445747354,2.9346432650574887,3.151995964364578
32,Chile,3.57,2.49,2.81,1.05,3.05,3.39,4.41,8.72,0.35,1.41,3.34,3.01,1.93,4.39,4.35,3.79,2.18,2.44,2.25,3.05,4.52,11.6,11.497492923981413,11.566685200293621,11.409080570915808,11.41164324781626
33,China,0.72,-0.73,1.13,3.82,1.78,1.65,4.82,5.93,-0.73,3.18,5.55,2.62,2.62,1.92,1.44,2.0,1.56,2.07,2.9,2.42,0.9,1.97,1.8498147014730542,1.8498147014730544,1.6995830783143724,1.596567108148419
34,Cte d'Ivoire,4.33,3.09,3.32,1.44,3.88,2.47,1.9,6.31,0.82,1.44,4.91,1.3,2.58,0.47,1.25,0.71,0.69,0.43,0.81,2.43,4.09,5.28,5.274076898487146,5.328230969461799,5.238961368089514,5.271961505089694
35,Cameroon,4.45,2.82,0.63,0.25,1.99,4.91,1.13,5.34,3.04,1.28,2.94,2.38,2.06,1.84,2.69,0.87,0.64,1.07,2.45,2.44,2.27,5.11,4.92857753373131,4.98135497846402,5.017639471717758,4.877449384146496
36,"Congo, Dem. Rep.",357.28,25.32,12.82,4.0,21.55,12.85,16.67,17.97,46.1,23.46,14.95,0.86,0.88,1.24,0.96,18.2,35.79,29.27,4.7,11.5,8.99,8.44,8.449231771642127,8.44922360193271,8.44907654716319,8.449190923095038
37,"Congo, Rep.",0.84,2.98,1.69,3.67,2.47,3.71,2.6,6.02,4.34,0.39,1.76,5.01,4.63,0.91,3.17,3.19,0.45,1.15,2.21,2.49,1.97,3.5,2.2468038053628376,2.3498805486446823,3.358947614456423,2.7459122465170323
38,Colombia,7.97,6.35,7.13,5.9,5.05,4.29,5.55,7.0,4.2,2.27,3.42,3.17,2.02,2.9,4.99,7.51,4.31,3.24,3.52,2.52,3.5,10.2,9.518307293622772,10.389359085104783,9.722815105535942,8.139773154059942
