Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,21000000,13000000,25000000,30000000,24000000,23000000,19000000,22000000,21000000,18000000,18000000,19000000,22000000,21000000,15000000,,,13000000,10000000,4000000
Africa Eastern and Southern,913301649.7,831099526.8,1260142377,1645527535,2235788596,2974579305,3474462995,3961442570,3633292142,4118249151,4954889205,5009306185,5022086306,5564364374,5440605648,4633904217,4990128661,5339286589,5184273731,
Afghanistan,,,,,,,,2000000,2000000,3000000,9000000,5000000,6000000,3000000,4000000,10000000,12000000,23000000,39000000,19000000
Africa Western and Central,,,,,1242361274,1372573376,2473678801,2890901916,2786596137,4387356494,4831246421,5200932525,5403821021,5524191124,5822682425,5798482502,5007105574,6881574375,6147108185,
Angola,14000000,33000000,37000000,47000000,61000000,245000000,261000000,193000000,137000000,127000000,143000000,129000000,150000000,392000000,243000000,229000000,239000000,207000000,248000000,76000000
Albania,12000000,21000000,18000000,27000000,22000000,24000000,63000000,89000000,107000000,92000000,112000000,90000000,88000000,99000000,73000000,76000000,40000000,71000000,82000000,42000000
Andorra,,,,,,,,,,,,,,,,,,,7000000,
Arab World,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,
Argentina,995000000,416000000,486000000,604000000,764000000,939000000,1142000000,1401000000,1272000000,1497000000,1935000000,2349000000,2489000000,1854000000,2366000000,2594000000,2802000000,2414000000,1995000000,400000000
Armenia,19000000,31000000,30000000,37000000,48000000,35000000,51000000,59000000,53000000,62000000,69000000,71000000,77000000,77000000,61000000,52000000,55000000,53000000,54000000,23000000
American Samoa,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,23000000,25000000,24000000,24000000,25000000,27000000,8000000
Australia,2449000000,2677000000,3097000000,4035000000,4404000000,4756000000,5598000000,5940000000,3942000000,5293000000,6596000000,7148000000,6622000000,5543000000,4881000000,4879000000,5240000000,5486000000,5377000000,1166000000
Austria,829000000,842000000,1138000000,1575000000,1761000000,,,,,,,,,,2008000000,1862000000,2110000000,2316000000,2333000000,648000000
Azerbaijan,10000000,5000000,9000000,14000000,24000000,55000000,117000000,113000000,82000000,74000000,89000000,140000000,155000000,155000000,140000000,99000000,145000000,169000000,137000000,27000000
Burundi,,,,6000000,2000000,1000000,2000000,7000000,9000000,15000000,18000000,,,,,,,,,
Belgium,1102000000,1085000000,1192000000,1500000000,1823000000,2317000000,1709000000,,1812000000,2022000000,2164000000,2191000000,2350000000,2624000000,2202000000,2083000000,2235000000,2347000000,2259000000,893000000
Benin,31000000,29000000,32000000,30000000,31000000,37000000,35000000,38000000,35000000,34000000,28000000,53000000,500000,200000.003,79000000,23000000,98000000,45000000,36000000,
Burkina Faso,13000000,14000000,19000000,28000000,28000000,29000000,35000000,47000000,47000000,41000000,57000000,69000000,71000000,44000000,57000000,61000000,66000000,72000000,70599998.47,
Bangladesh,176000000,196000000,224000000,281000000,230000000,339000000,374000000,551000000,402000000,574000000,487000000,585000000,958000000,382000000,400000000,359000000,524000000,452000000,469000000,265000000
Bulgaria,247000000,301000000,434000000,572000000,549000000,621000000,262000000,291000000,200000000,149000000,159000000,173000000,229000000,257000000,230000000,275000000,352000000,379000000,371000000,215000000
Bahrain,173000000,170000000,120000000,141000000,160000000,184000000,192000000,201000000,189000000,178000000,181000000,161000000,162000000,147000000,597000000,884000000,878000000,863000000,917000000,
"Bahamas, The",86000000,94000000,99000000,153000000,184000000,156000000,161000000,155000000,146000000,141000000,101000000,98000000,100000000,116000000,109000000,111000000,183000000,187000000,179000000,56000000
Bosnia and Herzegovina,22000000,27000000,39000000,45000000,36000000,40000000,61000000,64000000,54000000,53000000,54000000,57000000,65000000,78000000,72000000,65000000,97000000,105000000,108000000,51000000
Belarus,32000000,34000000,37000000,50000000,68000000,89000000,118000000,144000000,113000000,126000000,141000000,159000000,180000000,149000000,96000000,91000000,99000000,101000000,102000000,32000000
Belize,3000000,4000000,4000000,4000000,3000000,2000000,3000000,3000000,2000000,3000000,3000000,2000000,2000000,2000000,3000000,2000000,2000000,2000000,2000000,1490000.01
Bermuda,,,,,,126000000,165000000,152000000,112000000,116000000,110000000,106000000,100000000,114000000,119000000,124000000,114000000,80000000,78000000,21000000
Bolivia,31000000,34000000,59000000,68000000,71000000,87000000,81000000,100000000,98000000,108000000,112000000,141000000,139000000,145000000,138000000,142000000,168000000,143000000,174000000,51000000
Brazil,566000000,533000000,613000000,881000000,1185000000,1737000000,2223000000,2307000000,1999000000,2918000000,3806000000,3969000000,4258000000,4431000000,2999000000,2571000000,3989000000,3963000000,3585000000,1096000000
Barbados,48000000,47000000,49000000,55000000,57000000,62000000,78000000,74000000,57000000,74000000,43000000,42000000,43000000,66000000,63000000,46000000,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,1000000,1000000,2000000,2000000,2000000,3000000,600000.0238,4000000,1000000,2000000,1000000,,
Botswana,11000000,13000000,5000000,4000000,1000000,3000000,1299999.952,699999.9881,400000.006,500000,479999.9893,1000000,200000.003,1000000,400000.006,100000.0015,300000.0119,300000.0119,3700000.048,2799999.952
Central African Republic,,,,1000000,2000000,3000000,6000000,7000000,9000000,18000000,18000000,19000000,19399999.62,,,,,,,
Canada,2673000000,2535000000,2972000000,3743000000,4719000000,5452000000,6458000000,6618000000,6035000000,7248000000,7848000000,,,,,,,,,
Central Europe and the Baltics,854453349.9,1072302646,1364569297,1863199901,2207099032,2219982861,2355758599,3037824491,2108340878,2081352388,2192544969,1974477965,1790956230,2316732596,2158707046,2310879798,2702041807,3217088043,3822364917,
Switzerland,2089000000,1792000000,1861000000,1957000000,1931000000,2094000000,2350000000,2619000000,2270000000,2527000000,3005000000,2866000000,2939000000,3072000000,2468000000,2322000000,2402000000,2387000000,2343000000,826000000
Channel Islands,,,,,,,,,,,,,,,,,,,,
Chile,231000000,259000000,259000000,274000000,304000000,334000000,382000000,392000000,337000000,423000000,422000000,567000000,632000000,618000000,555000000,609000000,789000000,761000000,714000000,190000000
China,1083000000,1361000000,1529000000,2211000000,,,,,,,,,,,,,,,,
Cote d'Ivoire,102000000,132000000,164000000,190000000,195000000,210000000,234000000,256000000,246000000,217000000,200000000,196000000,202000000,223000000,203000000,119000000,177500000,209000000,228000000,110000000
Cameroon,39000000,34000000,101000000,71000000,125000000,109000000,98000000,153000000,87000000,79000000,93000000,150000000,183000000,200000000,174000000,203000000,210000000,227000000,235000000,144000000
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",17000000,15000000,40000000,73000000,,,66000000,133000000,171000000,101000000,104000000,135000000,156000000,178000000,233000000,206000000,,,,
Colombia,392000000,280000000,287000000,358000000,435000000,481000000,597000000,642000000,589000000,587000000,657000000,835000000,651000000,616000000,572000000,637000000,661000000,747000000,723000000,180000000
Comoros,,,,,9500000,12600000.38,13100000.38,15800000.19,12899999.62,14100000.38,16299999.24,16600000.38,,16000000,15000000,17000000,18000000,20000000,22000000,12000000
Cabo Verde,8000000,7000000,16000000,15000000,15000000,24000000,16000000,10000000,9000000,9000000,10000000,8000000,7000000,5000000,8000000,8000000,22000000,27000000,22000000,7000000
